subNum	 session	 trialNo	 variability	 targPresent	 targSide	 response	 accuracy
1	 1	 1	 10.00	 0	 x	 r	 1
1	 1	 2	 10.00	 1	 right	 l	 1
1	 1	 3	 1.90	 1	 right	 r	 0
1	 1	 4	 1.90	 0	 x	 r	 1
1	 1	 5	 10.00	 1	 left	 l	 1
1	 1	 6	 1.90	 1	 right	 r	 0
1	 1	 7	 10.00	 0	 x	 r	 1
1	 1	 8	 10.00	 0	 x	 l	 0
1	 1	 9	 1.90	 1	 right	 l	 1
1	 1	 10	 1.90	 0	 x	 l	 0
1	 1	 11	 1.90	 1	 right	 r	 0
1	 1	 12	 1.90	 1	 left	 r	 0
1	 1	 13	 1.90	 0	 x	 l	 0
1	 1	 14	 10.00	 1	 right	 l	 1
1	 1	 15	 1.90	 1	 right	 l	 1
1	 1	 16	 1.90	 1	 left	 l	 1
1	 1	 17	 10.00	 0	 x	 r	 1
1	 1	 18	 10.00	 0	 x	 x	 1
1	 1	 19	 1.90	 1	 left	 r	 0
1	 1	 20	 1.90	 0	 x	 r	 1
1	 1	 21	 10.00	 1	 left	 l	 1
1	 1	 22	 1.90	 1	 right	 l	 1
1	 1	 23	 1.90	 1	 left	 r	 0
1	 1	 24	 10.00	 1	 right	 l	 1
1	 1	 25	 10.00	 1	 left	 l	 1
1	 1	 26	 1.90	 0	 x	 r	 1
1	 1	 27	 1.90	 0	 x	 l	 0
1	 1	 28	 10.00	 1	 right	 l	 1
1	 1	 29	 1.90	 0	 x	 r	 1
1	 1	 30	 1.90	 0	 x	 r	 1
1	 1	 31	 10.00	 1	 right	 l	 1
1	 1	 32	 1.90	 1	 left	 l	 1
1	 1	 33	 1.90	 0	 x	 r	 1
1	 1	 34	 1.90	 1	 left	 l	 1
1	 1	 35	 1.90	 0	 x	 l	 0
1	 1	 36	 1.90	 0	 x	 l	 0
1	 1	 37	 1.90	 1	 right	 l	 1
1	 1	 38	 10.00	 0	 x	 r	 1
1	 1	 39	 10.00	 0	 x	 r	 1
1	 1	 40	 1.90	 1	 right	 l	 1
1	 1	 41	 1.90	 1	 left	 l	 1
1	 1	 42	 10.00	 0	 x	 x	 1
1	 1	 43	 10.00	 0	 x	 r	 1
1	 1	 44	 1.90	 1	 right	 l	 1
1	 1	 45	 10.00	 1	 right	 l	 1
1	 1	 46	 10.00	 0	 x	 r	 1
1	 1	 47	 10.00	 0	 x	 r	 1
1	 1	 48	 10.00	 1	 left	 l	 1
1	 1	 49	 10.00	 1	 right	 l	 1
1	 1	 50	 1.90	 0	 x	 l	 0
1	 1	 51	 10.00	 1	 left	 l	 1
1	 1	 52	 1.90	 0	 x	 r	 1
1	 1	 53	 10.00	 0	 x	 r	 1
1	 1	 54	 10.00	 0	 x	 r	 1
1	 1	 55	 10.00	 1	 left	 r	 0
1	 1	 56	 10.00	 1	 left	 l	 1
1	 1	 57	 1.90	 1	 left	 l	 1
1	 1	 58	 10.00	 1	 right	 l	 1
1	 1	 59	 10.00	 1	 left	 l	 1
1	 1	 60	 1.90	 0	 x	 l	 0
1	 1	 61	 10.00	 1	 left	 l	 1
1	 1	 62	 1.90	 0	 x	 l	 0
1	 1	 63	 10.00	 1	 right	 l	 1
1	 1	 64	 10.00	 0	 x	 r	 1
1	 1	 65	 1.90	 1	 right	 l	 1
1	 1	 66	 10.00	 0	 x	 r	 1
1	 1	 67	 1.90	 0	 x	 r	 1
1	 1	 68	 1.90	 0	 x	 r	 1
1	 1	 69	 1.90	 1	 left	 l	 1
1	 1	 70	 10.00	 0	 x	 r	 1
1	 1	 71	 1.90	 1	 left	 r	 0
1	 1	 72	 10.00	 0	 x	 r	 1
1	 1	 73	 10.00	 0	 x	 r	 1
1	 1	 74	 10.00	 1	 right	 l	 1
1	 1	 75	 10.00	 1	 left	 l	 1
1	 1	 76	 1.90	 0	 x	 r	 1
1	 1	 77	 1.90	 0	 x	 l	 0
1	 1	 78	 10.00	 0	 x	 r	 1
1	 1	 79	 10.00	 0	 x	 r	 1
1	 1	 80	 1.90	 0	 x	 r	 1
1	 2	 1	 1.90	 0	 x	 l	 0
1	 2	 2	 1.90	 0	 x	 l	 0
1	 2	 3	 10.00	 0	 x	 r	 1
1	 2	 4	 1.90	 1	 left	 l	 1
1	 2	 5	 10.00	 0	 x	 r	 1
1	 2	 6	 1.90	 0	 x	 l	 0
1	 2	 7	 10.00	 1	 left	 l	 1
1	 2	 8	 10.00	 1	 left	 l	 1
1	 2	 9	 1.90	 1	 right	 r	 0
1	 2	 10	 10.00	 0	 x	 r	 1
1	 2	 11	 1.90	 0	 x	 l	 0
1	 2	 12	 10.00	 1	 left	 l	 1
1	 2	 13	 1.90	 0	 x	 l	 0
1	 2	 14	 1.90	 1	 left	 l	 1
1	 2	 15	 10.00	 1	 left	 l	 1
1	 2	 16	 10.00	 0	 x	 r	 1
1	 2	 17	 1.90	 0	 x	 r	 1
1	 2	 18	 1.90	 0	 x	 l	 0
1	 2	 19	 1.90	 1	 left	 r	 0
1	 2	 20	 10.00	 1	 right	 l	 1
1	 2	 21	 10.00	 0	 x	 r	 1
1	 2	 22	 10.00	 1	 left	 l	 1
1	 2	 23	 1.90	 1	 right	 x	 1
1	 2	 24	 1.90	 1	 left	 l	 1
1	 2	 25	 10.00	 1	 right	 l	 1
1	 2	 26	 1.90	 0	 x	 r	 1
1	 2	 27	 1.90	 1	 right	 r	 0
1	 2	 28	 1.90	 1	 right	 l	 1
1	 2	 29	 10.00	 1	 left	 l	 1
1	 2	 30	 1.90	 1	 left	 l	 1
1	 2	 31	 1.90	 0	 x	 r	 1
1	 2	 32	 10.00	 0	 x	 r	 1
1	 2	 33	 10.00	 0	 x	 r	 1
1	 2	 34	 10.00	 1	 right	 l	 1
1	 2	 35	 1.90	 0	 x	 r	 1
1	 2	 36	 1.90	 0	 x	 r	 1
1	 2	 37	 10.00	 0	 x	 r	 1
1	 2	 38	 1.90	 1	 left	 r	 0
1	 2	 39	 1.90	 1	 left	 l	 1
1	 2	 40	 1.90	 0	 x	 r	 1
1	 2	 41	 10.00	 1	 right	 l	 1
1	 2	 42	 1.90	 0	 x	 r	 1
1	 2	 43	 1.90	 1	 left	 l	 1
1	 2	 44	 10.00	 0	 x	 r	 1
1	 2	 45	 1.90	 0	 x	 r	 1
1	 2	 46	 10.00	 0	 x	 r	 1
1	 2	 47	 1.90	 0	 x	 r	 1
1	 2	 48	 10.00	 0	 x	 r	 1
1	 2	 49	 10.00	 1	 left	 l	 1
1	 2	 50	 1.90	 1	 right	 r	 0
1	 2	 51	 1.90	 0	 x	 r	 1
1	 2	 52	 1.90	 0	 x	 r	 1
1	 2	 53	 1.90	 1	 right	 l	 1
1	 2	 54	 10.00	 1	 right	 l	 1
1	 2	 55	 10.00	 1	 right	 l	 1
1	 2	 56	 10.00	 1	 right	 l	 1
1	 2	 57	 1.90	 1	 right	 l	 1
1	 2	 58	 10.00	 0	 x	 r	 1
1	 2	 59	 10.00	 0	 x	 r	 1
1	 2	 60	 10.00	 1	 right	 r	 0
1	 2	 61	 10.00	 1	 right	 l	 1
1	 2	 62	 1.90	 0	 x	 r	 1
1	 2	 63	 10.00	 0	 x	 r	 1
1	 2	 64	 1.90	 1	 left	 r	 0
1	 2	 65	 10.00	 0	 x	 r	 1
1	 2	 66	 10.00	 1	 left	 l	 1
1	 2	 67	 10.00	 0	 x	 r	 1
1	 2	 68	 10.00	 0	 x	 r	 1
1	 2	 69	 10.00	 0	 x	 r	 1
1	 2	 70	 1.90	 0	 x	 r	 1
1	 2	 71	 1.90	 0	 x	 r	 1
1	 2	 72	 1.90	 1	 right	 l	 1
1	 2	 73	 10.00	 0	 x	 r	 1
1	 2	 74	 10.00	 1	 left	 l	 1
1	 2	 75	 1.90	 1	 left	 r	 0
1	 2	 76	 1.90	 1	 right	 l	 1
1	 2	 77	 10.00	 1	 right	 l	 1
1	 2	 78	 1.90	 1	 right	 l	 1
1	 2	 79	 10.00	 0	 x	 r	 1
1	 2	 80	 10.00	 1	 left	 l	 1
2	 1	 1	 10.00	 1	 right	 l	 1
2	 1	 2	 10.00	 0	 x	 r	 1
2	 1	 3	 10.00	 0	 x	 l	 0
2	 1	 4	 10.00	 1	 right	 l	 1
2	 1	 5	 1.90	 1	 right	 l	 1
2	 1	 6	 10.00	 1	 left	 l	 1
2	 1	 7	 10.00	 1	 right	 l	 1
2	 1	 8	 10.00	 1	 left	 l	 1
2	 1	 9	 1.90	 1	 left	 l	 1
2	 1	 10	 10.00	 1	 right	 l	 1
2	 1	 11	 1.90	 1	 right	 l	 1
2	 1	 12	 1.90	 1	 left	 l	 1
2	 1	 13	 1.90	 0	 x	 l	 0
2	 1	 14	 10.00	 1	 right	 l	 1
2	 1	 15	 1.90	 0	 x	 l	 0
2	 1	 16	 1.90	 0	 x	 l	 0
2	 1	 17	 1.90	 1	 right	 l	 1
2	 1	 18	 1.90	 0	 x	 l	 0
2	 1	 19	 10.00	 0	 x	 r	 1
2	 1	 20	 1.90	 1	 left	 l	 1
2	 1	 21	 1.90	 1	 left	 l	 1
2	 1	 22	 10.00	 0	 x	 r	 1
2	 1	 23	 1.90	 0	 x	 l	 0
2	 1	 24	 1.90	 0	 x	 l	 0
2	 1	 25	 10.00	 1	 right	 l	 1
2	 1	 26	 1.90	 1	 left	 l	 1
2	 1	 27	 10.00	 0	 x	 r	 1
2	 1	 28	 1.90	 1	 left	 l	 1
2	 1	 29	 10.00	 0	 x	 r	 1
2	 1	 30	 1.90	 0	 x	 l	 0
2	 1	 31	 10.00	 0	 x	 r	 1
2	 1	 32	 10.00	 0	 x	 r	 1
2	 1	 33	 10.00	 0	 x	 r	 1
2	 1	 34	 10.00	 0	 x	 r	 1
2	 1	 35	 10.00	 1	 left	 l	 1
2	 1	 36	 1.90	 0	 x	 l	 0
2	 1	 37	 10.00	 0	 x	 r	 1
2	 1	 38	 10.00	 0	 x	 r	 1
2	 1	 39	 10.00	 1	 right	 l	 1
2	 1	 40	 1.90	 0	 x	 l	 0
2	 1	 41	 1.90	 0	 x	 r	 1
2	 1	 42	 1.90	 1	 left	 r	 0
2	 1	 43	 1.90	 0	 x	 r	 1
2	 1	 44	 10.00	 0	 x	 r	 1
2	 1	 45	 1.90	 0	 x	 r	 1
2	 1	 46	 1.90	 0	 x	 r	 1
2	 1	 47	 10.00	 1	 right	 l	 1
2	 1	 48	 1.90	 1	 left	 l	 1
2	 1	 49	 10.00	 0	 x	 r	 1
2	 1	 50	 10.00	 0	 x	 l	 0
2	 1	 51	 1.90	 0	 x	 r	 1
2	 1	 52	 1.90	 1	 right	 l	 1
2	 1	 53	 1.90	 1	 left	 l	 1
2	 1	 54	 10.00	 1	 right	 l	 1
2	 1	 55	 1.90	 1	 right	 l	 1
2	 1	 56	 10.00	 0	 x	 r	 1
2	 1	 57	 1.90	 1	 right	 l	 1
2	 1	 58	 1.90	 0	 x	 l	 0
2	 1	 59	 1.90	 0	 x	 l	 0
2	 1	 60	 1.90	 0	 x	 r	 1
2	 1	 61	 10.00	 1	 left	 l	 1
2	 1	 62	 10.00	 1	 left	 l	 1
2	 1	 63	 1.90	 0	 x	 r	 1
2	 1	 64	 10.00	 1	 left	 l	 1
2	 1	 65	 1.90	 0	 x	 r	 1
2	 1	 66	 10.00	 1	 right	 l	 1
2	 1	 67	 1.90	 1	 right	 r	 0
2	 1	 68	 10.00	 1	 left	 l	 1
2	 1	 69	 10.00	 0	 x	 r	 1
2	 1	 70	 10.00	 1	 left	 l	 1
2	 1	 71	 1.90	 1	 left	 r	 0
2	 1	 72	 1.90	 1	 right	 l	 1
2	 1	 73	 10.00	 1	 left	 l	 1
2	 1	 74	 10.00	 1	 left	 l	 1
2	 1	 75	 1.90	 1	 right	 l	 1
2	 1	 76	 10.00	 0	 x	 r	 1
2	 1	 77	 10.00	 0	 x	 l	 0
2	 1	 78	 1.90	 0	 x	 l	 0
2	 1	 79	 1.90	 1	 right	 r	 0
2	 1	 80	 10.00	 0	 x	 l	 0
2	 2	 1	 1.90	 0	 x	 l	 0
2	 2	 2	 1.90	 1	 right	 l	 1
2	 2	 3	 1.90	 1	 left	 l	 1
2	 2	 4	 10.00	 1	 right	 l	 1
2	 2	 5	 10.00	 1	 right	 l	 1
2	 2	 6	 10.00	 1	 left	 l	 1
2	 2	 7	 10.00	 0	 x	 r	 1
2	 2	 8	 10.00	 0	 x	 r	 1
2	 2	 9	 1.90	 1	 left	 l	 1
2	 2	 10	 10.00	 0	 x	 r	 1
2	 2	 11	 10.00	 1	 left	 l	 1
