"subj","session","difficulty","trialType","nTrials"
"1","1","parallel","blank",38
"1","2","parallel","blank",40
"1","3","parallel","blank",39
"1","4","parallel","blank",40
"1","5","parallel","blank",40
"2","1","parallel","blank",33
"2","2","parallel","blank",38
"2","3","parallel","blank",36
"2","4","parallel","blank",39
"2","5","parallel","blank",40
"3","1","parallel","blank",13
"3","2","parallel","blank",29
"3","3","parallel","blank",38
"3","4","parallel","blank",40
"3","5","parallel","blank",39
"4","1","parallel","blank",39
"4","2","parallel","blank",40
"4","3","parallel","blank",40
"4","4","parallel","blank",40
"4","5","parallel","blank",40
"5","1","parallel","blank",40
"5","2","parallel","blank",38
"5","3","parallel","blank",40
"5","4","parallel","blank",40
"5","5","parallel","blank",40
"6","1","parallel","blank",40
"6","2","parallel","blank",40
"6","3","parallel","blank",37
"6","4","parallel","blank",40
"6","5","parallel","blank",40
"7","1","parallel","blank",39
"7","2","parallel","blank",40
"7","3","parallel","blank",40
"7","4","parallel","blank",40
"7","5","parallel","blank",40
"8","1","parallel","blank",37
"8","2","parallel","blank",40
"8","3","parallel","blank",38
"8","4","parallel","blank",40
"8","5","parallel","blank",39
"9","1","parallel","blank",40
"9","2","parallel","blank",40
"9","3","parallel","blank",39
"9","4","parallel","blank",40
"9","5","parallel","blank",40
"10","1","parallel","blank",40
"10","2","parallel","blank",40
"10","3","parallel","blank",38
"10","4","parallel","blank",40
"10","5","parallel","blank",39
"12","1","parallel","blank",38
"12","2","parallel","blank",39
"12","3","parallel","blank",39
"12","4","parallel","blank",39
"12","5","parallel","blank",39
"15","1","parallel","blank",37
"15","2","parallel","blank",38
"15","3","parallel","blank",36
"15","4","parallel","blank",40
"15","5","parallel","blank",36
"16","1","parallel","blank",37
"16","2","parallel","blank",40
"16","3","parallel","blank",40
"16","4","parallel","blank",40
"16","5","parallel","blank",39
"17","1","parallel","blank",36
"17","2","parallel","blank",39
"17","3","parallel","blank",40
"17","4","parallel","blank",40
"17","5","parallel","blank",40
"18","1","parallel","blank",40
"18","2","parallel","blank",40
"18","3","parallel","blank",40
"18","4","parallel","blank",39
"18","5","parallel","blank",40
"19","1","parallel","blank",39
"19","2","parallel","blank",40
"19","3","parallel","blank",39
"19","4","parallel","blank",40
"19","5","parallel","blank",40
"20","1","parallel","blank",39
"20","2","parallel","blank",40
"20","3","parallel","blank",40
"20","4","parallel","blank",39
"20","5","parallel","blank",40
